EVI.1,EVI.2,EVI.3,EVI.4,EVI.5,EVI.6,EVI.7,EVI.8,EVI.9,EVI.10,EVI.11,EVI.12,EVI.13,EVI.14,EVI.15,EVI.16,EVI.17,EVI.18,EVI.19,EVI.20,EVI.21,EVI.22,EVI.23,mean,max,min,staD,median,sum,longitude,latitude,ano_safra
0.1760875,0.142775,0.1381375,0.1382875,0.138675,0.1612,0.2037,0.2614875,0.31735,0.3418125,0.3415625,0.3202875,0.327025,0.3762875,0.4301875,0.492375,0.48655,0.411375,0.3459625,0.28805,0.250625,0.2294875,0.1954875,0.283251087,0.492375,0.1381375,0.1117035874,0.28805,6.514775,-52.446132,-12.342047,2009_2010
0.21675,0.1677625,0.16065,0.1538,0.1768625,0.2175125,0.255975,0.3157,0.355475,0.3560625,0.3437125,0.31325,0.301375,0.332775,0.3782875,0.434775,0.4424125,0.38855,0.3402375,0.295975,0.26445,0.263,0.2579875,0.2927538043,0.4424125,0.1538,0.0842037346,0.301375,6.7333375,-52.443888,-12.342047,2009_2010
0.3294,0.3089625,0.3147875,0.333625,0.339175,0.3587125,0.3711375,0.394825,0.4320125,0.422875,0.3946625,0.3567375,0.3384375,0.3680375,0.4103875,0.4343,0.4221875,0.3970875,0.369975,0.361775,0.3708625,0.371625,0.3784,0.3730429348,0.4343,0.3089625,0.0363178442,0.3708625,8.5799875,-52.441643,-12.342047,2009_2010
0.5796625,0.6079875,0.5874375,0.5353375,0.4820625,0.44875,0.4589375,0.5407,0.6173625,0.629925,0.638725,0.5821875,0.503625,0.4763875,0.45185,0.4620625,0.487075,0.496125,0.514,0.5237125,0.530225,0.5469625,0.57475,0.5337326087,0.638725,0.44875,0.0594100327,0.530225,12.27585,-52.439397,-12.342047,2009_2010
0.4919125,0.5048,0.526025,0.5563,0.578675,0.6016125,0.606525,0.6252375,0.6723375,0.676125,0.6758875,0.6344875,0.5514625,0.5087125,0.4896125,0.4942125,0.5129125,0.5304625,0.542575,0.5447875,0.5621625,0.5874625,0.5925125,0.5681217391,0.676125,0.4896125,0.0596748985,0.5563,13.0668,-52.437153,-12.342047,2009_2010
0.4975625,0.5108,0.5318625,0.55075,0.5625,0.584325,0.5878625,0.5898125,0.61985,0.617575,0.6060875,0.5857375,0.530075,0.490775,0.48055,0.5002625,0.5255125,0.5401,0.5424375,0.5280375,0.5231625,0.528275,0.5379625,0.5466032609,0.61985,0.48055,0.0406470275,0.5379625,12.571875,-52.434908,-12.342047,2009_2010
0.4922125,0.5088875,0.5278375,0.544075,0.5479125,0.5601875,0.5808125,0.6011625,0.6351,0.6381375,0.6069625,0.5645875,0.5144125,0.4811,0.476825,0.4979875,0.5158875,0.525975,0.5289125,0.5139125,0.5082625,0.5159625,0.522825,0.5395625,0.6381375,0.476825,0.0459216887,0.525975,12.4099375,-52.432662,-12.342047,2009_2010
0.4958625,0.509,0.526725,0.5417125,0.5548625,0.5811,0.6018125,0.6201,0.6205375,0.598575,0.6047625,0.5958625,0.58105,0.5654875,0.5295875,0.5226625,0.5319375,0.539275,0.53805,0.517775,0.505425,0.50985,0.5201125,0.552701087,0.6205375,0.4958625,0.0396369684,0.539275,12.712125,-52.430417,-12.342047,2009_2010
0.4981375,0.508075,0.519625,0.5345375,0.5515875,0.5813875,0.6059375,0.6250625,0.628125,0.611175,0.6190875,0.6096,0.5881625,0.5642625,0.5270375,0.5210875,0.5308625,0.5391,0.538325,0.5189875,0.5075,0.5114125,0.5181375,0.554661413,0.628125,0.4981375,0.0436661989,0.538325,12.7572125,-52.428173,-12.342047,2009_2010
0.4881,0.5024375,0.5208875,0.5389375,0.5526375,0.5779125,0.592525,0.6056375,0.6077875,0.5909625,0.610225,0.60575,0.584925,0.5656375,0.5223375,0.5155625,0.5305875,0.5394875,0.539025,0.525125,0.5218875,0.5293375,0.5417625,0.5525858696,0.610225,0.4881,0.0370990404,0.5394875,12.709475,-52.425928,-12.342047,2009_2010
